Date,Portfolio Value,Reference Values
2011-07-29,1366378.0009355787,1020881.9099106537
2011-08-05,1267158.2862741186,932469.1001382499
2011-08-12,1274884.3779631883,917756.8454284713
2011-08-19,1225312.4174696167,867625.8176340716
2011-08-26,1292157.8335348638,913176.0311990593
2011-09-02,1281883.5789000713,913836.3287456413
2011-09-09,1270555.7318819016,899629.6143449645
2011-09-16,1324916.243318646,949461.4448135693
2011-09-23,1264799.6267918178,876777.1289437305
2011-09-30,1221254.9687078844,866408.394032561
2011-10-07,1243816.8384246456,888224.005942678
2011-10-14,1322312.1116234444,943828.2813692923
2011-10-21,1324070.491367281,960057.1570063762
2011-10-28,1378258.7234374776,1005767.2863834267
2011-11-04,1332582.5731221472,982398.9435239257
2011-11-11,1320038.9833775582,986608.3403833853
2011-11-18,1282483.300894531,944519.5303633701
2011-11-25,1216919.0884536535,897215.4014402741
2011-12-02,1311598.0844921093,966293.8736768257
2011-12-09,1332582.9269836112,971612.3640715597
2011-12-16,1302244.518251365,938937.9526649197
2011-12-23,1326475.6655801672,976750.3043559003
2011-12-30,1300266.00756076,969125.931122712
2012-01-06,1353871.2761162906,985184.5737985679
2012-01-13,1377428.9053683928,999427.3982213235
2012-01-20,1421113.8405128052,1023358.0257103357
2012-01-27,1477407.2183032369,1028738.4190000619
2012-02-03,1550516.8259685936,1056073.7057136374
2012-02-10,1508314.7545775042,1051379.4028434064
2012-02-17,1519145.2512781867,1068717.3720157647
2012-02-24,1494412.7188231621,1068541.9804799538
2012-03-02,1508080.77062394,1064348.059344242
2012-03-09,1514898.4891579084,1066875.760889751
2012-03-16,1543965.533156672,1091229.3914945424
2012-03-23,1548710.7777865883,1081257.8668262388
2012-03-30,1556985.6136460481,1086540.2471988944
2012-04-06,1550525.901957691,1075340.981779915
2012-04-13,1524468.3048684122,1055485.628211213
2012-04-20,1545111.904798407,1062748.901223614
2012-04-27,1597980.7549149385,1080417.0191692633
2012-05-04,1563931.719433723,1052911.49949446
2012-05-11,1580860.0721915234,1040319.4189381594
2012-05-18,1467061.8282237563,984931.8036440173
2012-05-25,1538714.225859311,1010074.6961599573
2012-06-01,1502707.9496394657,972308.7716402205
2012-06-08,1535525.2763326007,1009367.9714421313
2012-06-15,1526372.2617682817,1018240.7197243259
2012-06-22,1529441.483990533,1012117.491694695
2012-06-29,1564717.5767496093,1037394.5071497845
2012-07-06,1577929.5240702862,1032535.129892908
2012-07-13,1563178.5681505506,1026747.2092111508
2012-07-20,1530167.167135664,1029847.5125353363
2012-07-27,1538780.1327042684,1047407.3004147494
2012-08-03,1545048.2583418644,1047933.4750221819
2012-08-10,1560892.1286642866,1068903.080700741
2012-08-17,1576805.825066137,1080329.3234013575
2012-08-24,1585946.388188597,1071962.1154282647
2012-08-31,1591760.4398404132,1068082.8673420958
2012-09-07,1645330.2062333506,1095665.7656356392
2012-09-14,1654764.9598831192,1124656.954790252
2012-09-21,1638426.7251508941,1111487.113880692
2012-09-28,1622743.4834703906,1092880.135360997
2012-10-05,1647870.2208938065,1109397.8911747104
2012-10-12,1610719.035678943,1088098.1367228604
2012-10-19,1623739.9500154278,1097579.5968058102
2012-10-26,1639558.9777274716,1081649.9184945214
2012-11-02,1671833.6102652282,1087943.3794853804
2012-11-09,1628299.9310711143,1064920.6611229181
2012-11-16,1590498.9955280204,1053355.1369085691
2012-11-23,1655319.6597194308,1088392.1754740726
2012-11-30,1695184.85551966,1094649.5264428528
2012-12-07,1676553.282438814,1100937.828859129
2012-12-14,1668383.4379219061,1101912.7994552539
2012-12-21,1693586.9548236418,1119446.794461754
2012-12-28,1678370.7149412245,1097270.08233085
2013-01-04,1772892.2426632044,1152441.0374925197
2013-01-11,1777512.5249203786,1153957.658419825
2013-01-18,1787169.6630591578,1173034.0672265436
2013-01-25,1794414.8337906064,1193013.2265852296
2013-02-01,1790288.278918073,1199982.4608464187
2013-02-08,1816197.2309771373,1206353.3004560177
2013-02-15,1814923.5737097173,1210712.295978375
2013-02-22,1791859.1916718448,1201514.557497472
2013-03-01,1779018.2058381643,1203856.5503580049
2013-03-08,1816917.0154555002,1233229.4740317354
2013-03-15,1841859.0667551642,1244588.6552627776
2013-03-22,1846674.9152920716,1237578.1524049274
2013-03-29,1880464.5455590822,1251176.155004849
2013-04-05,1826832.3380558277,1231645.7916348556
2013-04-12,1884740.6923915423,1262313.5175288366
2013-04-19,1832874.733509883,1232326.7234797683
2013-04-26,1891300.6609083705,1257278.7487361496
2013-05-03,1933381.0615906904,1286414.377979077
2013-05-10,1969734.5572991697,1308090.708375462
2013-05-17,1992547.905820813,1336380.3313868314
2013-05-24,1956213.1531576249,1315426.2014320204
2013-05-31,1923319.817215685,1302111.9204341457
2013-06-07,1922689.1221515122,1309566.0607061058
2013-06-14,1911102.4824680805,1297309.287497679
2013-06-21,1867608.4473025813,1268643.0885417743
2013-06-28,1863861.4230772841,1285774.7147308257
